,text,meta_text
0,hello . are you interested in the bike ? ,intro
1,"i sure am . i must ask though , how long have you had it ? ",inquire
2,i've had it for just under one year . ,inform
3,so it truly is in good condition ? ,inquire
4,yes . ,inform
5,"well , that is good , and for a fair price as well , however i am a little short on money this week . could we agree on $225 ? ",init-price
6,"no , sorry , that's too low . ",vague-price
7,i can drop the price to $240 though . ,counter-price
8,if we lower it to $230 i can assure you that i can pick it up quick . ,counter-price
9,$240 is the lowest i can go . can we agree on that deal ? ,insist
10,"if that is the lowest you can go , i suppose i can budge . i'll take it . ",agree
11,<end>,<end>
12,hi there how can i help you ? ,intro
13,"hi , i am interested in your filing cabinet . ",intro
14,i am offering $50 . ,init-price
15,"they are a great deal . the set will be $70 , they are in good condition and no scratches and black . ",counter-price
16,"well , $70 is a bit too expensive for me . ",disagree
17,"surely , you can come down some , $60 is my best offer . ",counter-price
18,that sounds like a deal . ,agree
19,"great , sounds good . ",thanks
20,<end>,<end>
21,do you still have the bike for sale ? ,inquire
22,yes i do in fact . ,inform
23,"does it have any issues , i want to buy it for my son so i need to make sure it is safe ",inquire
24,"it has no issues like that at all , perfectly safe . it just has a couple areas with chipped paint . ",inform
25,sounds good . could you take $1000 for it . i would be happy to pick it up ,init-price
26,i couldn't go down all that low . it's worth at least 1800 in this condition as i've seen many sold at that price . mine is priced to sell quickly so it's already been lowered . 1400 good ? ,counter-price
27,i looked at your ad again and noticed all of the upgrades . i can do $1400 . ,agree
28,could i pick it up at the bike shop so i can get some accessories while i am there ? ,inquire
29,yes and great that works just fine . ,inform
30,1400 it is . ,agree
31,<end>,<end>
32,"hi there , are you interested in my property today ? ",intro
33,hello i'm interested in this property . yes have a couple of questions . ,intro
34,what can i help you with ? ,intro
35,are the utlities included here ? ,inquire
36,"the utilities are included , and wifi as well . this one does not include parking though , it is available for more . ",inform
37,how much is the parking per month ? ,inquire
38,the parking is an extra $40 a month . ,inform
39,"okay , and are pets not allowed at all ? or is there a fee for having a pet ? ",inquire
40,i am sorry but pets are not allowed . ,inform
41,okay . now this is a bit out of my price range budget wise . ,vague-price
42,i'm a professional artist so anything i can save is choice . ,supplemental
43,is it at all possible to rent this unit for 800 . comparable apartments in the area are running at around 850 . ,init-price
44,i am sorry but i could not go lower than $1250 on this high end propert . ,counter-price
45,"it is also close to the downtown area , with amenities . ",supplemental
46,"all i can do is 1000 a month other than that it won't be possible for me , especially with the parking fee as well . ",counter-price
47,"that is too low , $1250 is my final offer . ",insist
48,<end>,<end>
49,so you're interested in the iphone ? ,intro
50,"yes , i'm not sure is this the latest model . ",inform
51,just checking . i've got a few other items for sale . it's not the latest but i kept it in pristine condition . ,supplemental
52,"since it is not new , i would like to offer you half of the list price . ",vague-price
53,new sim card . original everything . always had a screen protector . ,supplemental
54,i'm asking $160 which is a pretty good discount from what you'd pay at the apple store . ,init-price
55,i think $100 . 00 is more reasonable since it is like new condition . it is a phone and there are no other perks available . ,counter-price
56,"they're selling for $210 on amazon without the sim card . i'll take $150 to get a deal done now , but otherwise i'm not in a hurry to sell . what do you think ? ",counter-price
57,this apple iphone is not new . there is no case offered and i need a warranty or assurance that it will continue to work . ,supplemental
58,my offer is $120 . 00 . i think this is a very reasonable deal . ,counter-price
59,i think we're just too far apart on what we're looking for . hopefully you find the deal you're looking for somewhere else ! have a good day . ,disagree
60,<end>,<end>
61,hey i'm interested in the volvo . ,intro
62,is everything good and what's the inside like ? no issues ? ,inquire
63,"hey , it's in fantastic condition , it was my grandmas car , she had to stop driving after that zuchinni accident . inside is nice , cream leather , i just had is services at the volvo dealership and they replaced the transmission and everything else looked good ",inform
64,it is a '04 though with some miles on it . ,supplemental
65,"i could do $4 , 000 on it . cash in hand today as long as i can test drive and all is well . ",init-price
66,i need to at least cover what it cost to put that transmission in - i'd like to get at least $4300 . ,counter-price
67,"i will throw in grannys sub and amp too , she was quite the gangster rap aficionado ",supplemental
68,i could make good use of those . $4200 and you got a deal . i can come today . ,counter-price
69,"deal , i'll warm up the subs . ",agree
70,sweet ,thanks
71,<end>,<end>
72,is the trike still available ? ,inquire
73,yes . i'm asking $1300 . ,init-price
74,that is some what higher than i was a looking for . . . . ,vague-price
75,what can you tell me about how it runs ? ,inquire
76,it's in great condition . it's only 6 years old and i've upgraded a lot of the parts so it's pretty customized now . it also has a great sound system . ,inform
77,i can offer 900 cash and pick up today ,counter-price
78,i can shave $100 off if you're able to pick up today but i've put a lot of work into this trike and can't really go much lower . ,vague-price
79,$1200 . ,counter-price
80,"i can do $1100 , if you can deliver to me tomorrow ? ",counter-price
81,$1100 but you'll need to pick it up yourself . ,counter-price
82,<end>,<end>
83,hi . i see that you have some bunk beds for sale . ,intro
84,can you tell me what condition the mattresses are in ? any stains or tears ? ,inquire
85,"the mattresses are in excellent condition and still have the plastic over them ! we bought the bunk bed set for our kids , but they still slept in the guest room on a queen bed . ",inform
86,oh . that's great ! i have $200 and i can pick them up today . i would be happy to take them off your hands . ,init-price
87,$200 is a bit lower than i will accept due to the mattresses being brand new . ,vague-price
88,right now the lowest i will take is $250 . ,counter-price
89,yes . that is a good deal but i can't do anymore that $225 . ,counter-price
90,"okay , i'm sorry i can't go that low . thanks for your interest . ",disagree
91,<end>,<end>
92,hello ,intro
93,hi . i am interested in the bunk beds . ,intro
94,"these bunk beds are great with free mattresses , no pillows and sheets , excellent condition . ",supplemental
95,"i'm not in need of the mattresses , and i was wondering if we could work on a deal that we can both agree on ? $290 is just way out of my range . ",disagree
96,if you pick it up and cash only i could drop it to $185 lowest as i am moving . it would help me as well . ,counter-price
97,how about $155 and i can come pick it up right now ? ,counter-price
98,"that is too low for me , $185 is the best i can do . ",counter-price
99,<end>,<end>
100,i would like to buy your volvo xc90 ,intro
101,the price is 4500 . it is a good car with no issues . ,init-price
102,"4500 is a bit steep for a 2004 model , i would be more interested at a price point near $2000 ",counter-price
103,sorry i can't go that low . ,disagree
104,i would consider coming down to $4000 but no lower ,counter-price
105,"135k miles is a lot , even with a new transmission there are probably parts going bad that i will have to deal with $2500 and i will pick it up and take care of the title transfer ",counter-price
106,i simply cannot go that low sorry ,disagree
107,if you have records of all service performed on the car i could meet you at $3500 but that is my absolute max ,counter-price
108,ok i guess icould do that if you pick it up and handle the title transfer . ,agree
109,ok so the final price is 3500 ,agree
110,<end>,<end>
111,how are you doing today ? are you interested in the cabinets i'm selling ? ,intro
112,yes i am . ,inform
113,"excellent . i'm selling the for $70 each . they're in good condition , and very sturdy . ",init-price
114,i am looking to spend about 35 but i can negotiate . ,counter-price
115,i cannot afford 70 . ,disagree
116,is there any warping/damage to them at all ? ,inquire
117,"there is light signs of wear on the corners , but no warping or dents . i've kept them in good shape . ",inform
118,i can go as low as $50 each . ,counter-price
119,i am interested in buying all four . could we get it down to 175 for all 4 ? ,counter-price
120,i can't go lower than $50 . ,disagree
121,"that's already almost 30% off on each . i am willing to deliver them to you , though . ",insist
122,so you can deliver all four to me at $200 total ? ,inquire
123,i will agree to that ! ,agree
124,yes . that is what i'm saying . ,inform
125,"i'm going to send you a price offer right now , okay ? ",inquire
126,great thanks ,thanks
127,<end>,<end>
128,hello ,intro
129,are you interested in the file cabinets ,intro
130,yes . i would be willing to pay $250 for all 4 . ,init-price
131,how about $270 for all 4 ,counter-price
132,can we meet in the middle and say 260 ? ,counter-price
133,"ok , that sounds good . ",agree
134,when will you pick them up . ,inquire
135,tomorrow . ,inform
136,thank you ! ,thanks
137,<end>,<end>
138,"wow , this looks great ! ! ",intro
139,"thanks , it is really nice . interested ? ",intro
140,"yea , how much money will it cost ? ",inquire
141,i initially wanted $1800 obo but now i have it listed at $1300 priced to sell . ,init-price
142,"wow , nice , but i would need closer to 1 , 000 . ",counter-price
143,$1250 ? it's a great trike and i've upgraded so many aspects of it . ,counter-price
144,how about 1150 ? ,counter-price
145,$1200 and its a done deal ? ,counter-price
146,sure ! ,agree
147,<end>,<end>
148,yes i'm interested in the bike is there anything wrong with it ? is it in good condition ? ,inquire
149,"the bike is in good condition and there is nothing wrong with it . it's a great 26"" cruiser . ",inform
150,i have it listed for $250 ,init-price
151,the listing says it is for $200 are you saying that's not the right price ? ,inquire
152,my end is showing that i listed it for $250 . we can work on the price though ,inform
153,okay does it come with anything and how long have you had it ? ,inquire
154,"i've had it for about a year and i have a few smaller accessories to throw in with it: cup holder , bell , lock , new set of tubes . ",inform
155,could you come down on the price at all my budget is around $100 what can you do for me ? ,counter-price
156,"in all honesty , i have it listed here for $250 so the lowest i'm willing to go down to is $190 ",counter-price
157,well it doesn't seem like you are willing to negotiate very much and that price will not work for me i'm sorry . ,disagree
158,<end>,<end>
159,how close to 1000 would you take ? ,init-price
160,"hello . wow , right to it . my kind of negotiation . i'd be happy at 1200 . lower than that i'd feel cheated . ",counter-price
161,it's a really good bike . ,supplemental
162,do you have any questions ? ,intro
163,how long have you had it ? any wrecks or any damage to the bike ? ,inquire
164,"nope , no accidents at all . just normal use . like i stated i work at a bike shop so i'm able to maintain it really well . it's mint . ",inform
165,what's the absolute lowest you'd be willing to take for the bike ? ,inquire
166,<end>,<end>
167,i have a great deal ! 700 and it's yours ! ,init-price
168,i noticed this is from 2010 . would you nor willing to take 550 ? ,counter-price
169,"i wish i could , but it's pretty much brand new . how about 650 ? ",counter-price
170,i have 630 to spend . i can pickup today . ,counter-price
171,630 it is ,agree
172,<end>,<end>
